epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,278.073,0.82218,0.43819,1.2049,0.9982,1,0.995,0.71587,1.08017,0.41505,1.53051,0.0009407,0.0009407,0.0009407
109,280.455,0.72013,0.3925,1.14428,0.99822,1,0.995,0.7182,1.05529,0.41289,1.50832,0.0009308,0.0009308,0.0009308
110,282.896,0.78722,0.38297,1.20038,0.99821,1,0.995,0.74963,1.00386,0.36615,1.52201,0.0009209,0.0009209,0.0009209
111,285.331,0.85658,0.44826,1.31823,0.9981,1,0.995,0.72077,1.03065,0.36153,1.53953,0.000911,0.000911,0.000911
112,287.887,0.67675,0.39165,1.14804,0.99794,1,0.995,0.69466,1.07451,0.39379,1.57481,0.0009011,0.0009011,0.0009011
113,290.313,0.679,0.37992,1.12605,0.998,1,0.995,0.67591,1.10748,0.39615,1.59439,0.0008912,0.0008912,0.0008912
114,292.713,0.70638,0.40921,1.14349,0.99799,1,0.995,0.67625,1.11605,0.37708,1.60967,0.0008813,0.0008813,0.0008813
115,295.147,0.75368,0.4129,1.17863,0.99811,1,0.995,0.69587,1.07451,0.38071,1.58786,0.0008714,0.0008714,0.0008714
116,297.553,0.77591,0.42093,1.22476,0.99801,1,0.995,0.69461,1.11031,0.39701,1.58,0.0008615,0.0008615,0.0008615
117,299.952,0.78031,0.42797,1.22181,0.99799,1,0.995,0.678,1.15905,0.44277,1.58764,0.0008516,0.0008516,0.0008516
118,302.514,0.74113,0.36808,1.16902,0.99777,1,0.995,0.6804,1.11603,0.4349,1.54178,0.0008417,0.0008417,0.0008417
119,304.936,0.71237,0.38458,1.15073,0.998,1,0.995,0.69978,1.08167,0.38703,1.50994,0.0008318,0.0008318,0.0008318
120,307.32,0.64921,0.42498,1.10513,0.99803,1,0.995,0.71532,1.0695,0.37615,1.50231,0.0008219,0.0008219,0.0008219
121,309.514,0.65692,0.39639,1.10917,0.99804,1,0.995,0.72311,1.06958,0.38216,1.51532,0.000812,0.000812,0.000812
